Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2003-10-07 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-08 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-09 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-10 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-13 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-14 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-15 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
2003-10-16 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,2000,0.0,0.0
2003-10-17 00:00:00-04:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,2000,0.0,0.0
2003-10-20 00:00:00-04:00,4.88513708114624,4.88513708114624,4.88513708114624,4.88513708114624,2000,0.0,0.0
2003-10-21 00:00:00-04:00,4.88513708114624,4.88513708114624,4.88513708114624,4.88513708114624,0,0.0,0.0
2003-10-22 00:00:00-04:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,1000,0.0,0.0
2003-10-23 00:00:00-04:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-24 00:00:00-04:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-27 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-28 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-29 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-30 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-10-31 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-03 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-04 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-05 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-06 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-07 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-10 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-11 00:00:00-05:00,4.926187515258789,4.926187515258789,4.926187515258789,4.926187515258789,0,0.0,0.0
2003-11-12 00:00:00-05:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,4000,0.0,0.0
2003-11-13 00:00:00-05:00,4.720928192138672,4.720928192138672,4.720928192138672,4.720928192138672,0,0.0,0.0
